Store List (CCL Supplier),,,,,,,,
Time:Latest 4 Promo Weeks Ending 01-29-25,,,,,,,,
Product:soft drink,,,,,,,,
Geography,Store Number,Store Name,Address,City Name,Postal Code,Division Name,Store Status,Store Opening Date
Store 1,0001,Store 1,Unknown,Unknown,Unknown,CALGARY CO-OP,ACTIVE,Unknown
Store 2,0002,Store 2,Unknown,Unknown,Unknown,CALGARY CO-OP,ACTIVE,Unknown
Store 3,0003,Store 3,Unknown,Unknown,Unknown,CALGARY CO-OP,ACTIVE,Unknown
Store 4,0004,Store 4,Unknown,Unknown,Unknown,CALGARY CO-OP,ACTIVE,Unknown
Store 5,0005,Store 5,Unknown,Unknown,Unknown,CALGARY CO-OP,ACTIVE,Unknown
Store 6,0006,Store 6,Unknown,Unknown,Unknown,CALGARY CO-OP,ACTIVE,Unknown
Store 7,0007,Store 7,Unknown,Unknown,Unknown,CALGARY CO-OP,ACTIVE,Unknown
Store 8,0008,Store 8,Unknown,Unknown,Unknown,CALGARY CO-OP,ACTIVE,Unknown
Store 9,0009,Store 9,Unknown,Unknown,Unknown,CALGARY CO-OP,INACTIVE,Unknown
Store 10,0010,Store 10,Unknown,Unknown,Unknown,CALGARY CO-OP,INACTIVE,Unknown
Store 11,0011,Store 11,Unknown,Unknown,Unknown,CALGARY CO-OP,ACTIVE,Unknown
Store 13,0013,Store 13,Unknown,Unknown,Unknown,CALGARY CO-OP,ACTIVE,Unknown
Store 14,0014,Store 14,Unknown,Unknown,Unknown,CALGARY CO-OP,ACTIVE,Unknown
Store 15,0015,Store 15,Unknown,Unknown,Unknown,CALGARY CO-OP,ACTIVE,Unknown
Store 16,0016,Store 16,Unknown,Unknown,Unknown,CALGARY CO-OP,INACTIVE,Unknown
Store 17,0017,Store 17,Unknown,Unknown,Unknown,CALGARY CO-OP,ACTIVE,Unknown
Store 19,0019,Store 19,Unknown,Unknown,Unknown,CALGARY CO-OP,ACTIVE,Unknown
Store 20,0020,Store 20,Unknown,Unknown,Unknown,CALGARY CO-OP,ACTIVE,Unknown
Store 21,0021,Store 21,Unknown,Unknown,Unknown,CALGARY CO-OP,ACTIVE,Unknown
Store 22,0022,Store 22,Unknown,Unknown,Unknown,CALGARY CO-OP,ACTIVE,Unknown
Store 23,0023,Store 23,Unknown,Unknown,Unknown,CALGARY CO-OP,ACTIVE,Unknown
Store 24,0024,Store 24,Unknown,Unknown,Unknown,CALGARY CO-OP,ACTIVE,Unknown
Store 25,0025,Store 25,Unknown,Unknown,Unknown,CALGARY CO-OP,ACTIVE,Unknown
Store 26,0026,Store 26,Unknown,Unknown,Unknown,CALGARY CO-OP,ACTIVE,Unknown
Store 27,0027,Store 27,Unknown,Unknown,Unknown,CALGARY CO-OP,ACTIVE,Unknown
